,Date,Route,Attempted,Succeeded,Success Percentage,Battery Voltage AVG,Temperature AVG,Relative Humidity AVG,Wind Speed Daily AVG,Wind Direction AVG,Solare Radiation AVG
0,2014-09-23,Disappointment Cleaver,11,0,0.0,13.05666667,32.85733333,100.0,65.11066667,254.2733333,16.5938
1,2014-09-24,Disappointment Cleaver,12,0,0.0,13.16875,29.70291667,100.0,45.915,278.0541667,37.87370833
2,2014-09-25,Disappointment Cleaver,12,6,0.5,13.64833333,26.82375,99.85416667,3.166208333,278.6041667,142.6989167
3,2014-09-25,Disappointment Cleaver,2,2,1.0,13.64833333,26.82375,99.85416667,3.166208333,278.6041667,142.6989167
4,2014-09-26,Disappointment Cleaver,12,7,0.583333333,13.5325,28.23833333,100.0,0.897625,259.6458333,114.4008333
5,2014-09-26,Disappointment Cleaver,2,0,0.0,13.5325,28.23833333,100.0,0.897625,259.6458333,114.4008333
6,2014-09-26,Disappointment Cleaver,8,6,0.75,13.5325,28.23833333,100.0,0.897625,259.6458333,114.4008333
7,2014-09-26,Disappointment Cleaver,3,3,1.0,13.5325,28.23833333,100.0,0.897625,259.6458333,114.4008333
8,2014-09-26,Disappointment Cleaver,2,0,0.0,13.5325,28.23833333,100.0,0.897625,259.6458333,114.4008333
9,2014-09-26,Disappointment Cleaver,5,0,0.0,13.5325,28.23833333,100.0,0.897625,259.6458333,114.4008333
10,2014-09-26,Disappointment Cleaver,3,0,0.0,13.5325,28.23833333,100.0,0.897625,259.6458333,114.4008333
11,2014-09-26,Disappointment Cleaver,2,0,0.0,13.5325,28.23833333,100.0,0.897625,259.6458333,114.4008333
12,2014-09-26,Disappointment Cleaver,4,3,0.75,13.5325,28.23833333,100.0,0.897625,259.6458333,114.4008333
13,2014-09-27,Disappointment Cleaver,1,1,1.0,13.46708333,33.31875,60.20041667,7.140916667,116.2945833,227.597125
14,2014-09-27,Disappointment Cleaver,4,0,0.0,13.46708333,33.31875,60.20041667,7.140916667,116.2945833,227.597125
15,2014-09-27,Disappointment Cleaver,12,8,0.666666667,13.46708333,33.31875,60.20041667,7.140916667,116.2945833,227.597125
16,2014-09-27,Disappointment Cleaver,12,10,0.833333333,13.46708333,33.31875,60.20041667,7.140916667,116.2945833,227.597125
17,2014-09-27,Disappointment Cleaver,3,0,0.0,13.46708333,33.31875,60.20041667,7.140916667,116.2945833,227.597125
18,2014-09-27,Disappointment Cleaver,12,6,0.5,13.46708333,33.31875,60.20041667,7.140916667,116.2945833,227.597125
19,2014-09-27,glacier only - no summit attempt,11,11,1.0,13.46708333,33.31875,60.20041667,7.140916667,116.2945833,227.597125
20,2014-09-28,Disappointment Cleaver,12,0,0.0,13.43791667,43.03291667,12.3635,4.85875,193.0470833,226.7194583
21,2014-09-28,Disappointment Cleaver,11,6,0.545454545,13.43791667,43.03291667,12.3635,4.85875,193.0470833,226.7194583
22,2014-09-29,Disappointment Cleaver,2,0,0.0,13.55666667,35.29625,47.83875,12.22416667,251.7155,161.2810833
23,2014-10-04,Kautz Glacier,2,0,0.0,13.48333333,42.99875,59.25791667,9.26775,171.1059583,125.3420833
24,2014-10-04,Disappointment Cleaver,1,1,1.0,13.48333333,42.99875,59.25791667,9.26775,171.1059583,125.3420833
25,2014-10-06,Disappointment Cleaver,1,0,0.0,13.44083333,45.065,52.67708333,2.452583333,165.3111667,195.5275
26,2014-11-09,Nisqually Glacier,2,0,0.0,13.54625,21.96875,89.15416667,24.14166667,245.4,78.41325
27,2014-12-13,Gibralter Ledges,3,0,0.0,12.98791667,8.911,93.5125,0.0,244.9541667,42.76745833
28,2015-01-23,Disappointment Cleaver,2,0,0.0,13.46291667,28.25125,92.37875,20.88708333,264.9333333,0.0
29,2015-01-24,Ingraham Direct,4,0,0.0,13.64125,35.25083333,59.77291667,18.04845833,271.5916667,3.09375
30,2015-01-24,Gibralter Ledges,4,0,0.0,13.64125,35.25083333,59.77291667,18.04845833,271.5916667,3.09375
31,2015-01-25,Gibralter Ledges,2,0,0.0,13.63333333,37.7425,45.37166667,41.44083333,274.6958333,0.0
32,2015-01-28,Gibralter Ledges,2,2,1.0,13.66416667,23.08625,22.53516667,9.464208333,207.6674583,0.0
