Route,Attempted,Succeeded,Date
Disappointment Cleaver,7508,3740,2014-09-23
Emmons-Winthrop,1465,791,2015-05-02
Kautz Glacier,523,267,2014-10-04
Little Tahoma,147,56,2015-02-14
Liberty RIngraham Directge,73,32,2015-05-02
glacier only - no summit attempt,79,13,2014-09-27
Gibralter Ledges,80,11,2014-12-13
Fuhrers Finger,76,9,2015-04-20
Ptarmigan RIngraham Directge,19,9,2015-05-29
Ingraham Direct,99,7,2015-01-24
