,Types_arm_category,arms_category
0,Guns,2764
1,Sharp objects,818
2,Unknown,418
3,Unarmed,348
4,Other unusual objects,192
5,Blunt instruments,122
6,Vehicles,121
7,Multiple,54
8,Piercing objects,29
9,Electrical devices,24
10,Explosives,4
11,Hand tools,1
